Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Grant Thornton,Finance,"$46,539","Global audit, tax, and advisory firm providing assurance and financial consulting services.",
"SveuäIliå¡Te U Zagrebu, Studentski Centar",Facilities,"$44,299",Croatian university student center providing event and accommodation space in Zagreb,
Ss&C Intralinks Inc,M&A,"$39,966",Secure virtual data room platform for M&A due diligence and confidential document sharing.,
Veniture D.O.O.,Professional Services,"$39,342",Croatian IT and business consulting services firm providing local professional project support.,
Accutrainee Limited,Legal,"$38,841",UK legal staffing firm providing qualified solicitor secondments and contract legal resource.,
Mason Frank International Ltd,G&A,"$38,148",UK specialist Salesforce and technology talent recruitment agency for contract and permanent roles.,
"Houlihan Lokey Advisors, Llc",M&A,"$37,461","Investment bank providing M&A advisory, valuation, and transaction execution services.",
Vector Capital Management Lp,M&A,"$32,427",Private equity firm providing acquisition financing and strategic investment advisory services.,
Hubspot Ireland Limited,Marketing,"$32,187","Inbound marketing, CRM, and marketing automation platform for demand generation campaigns.",
Nefron - Obrt Za Poslovne Usluge,G&A,"$30,614",Croatian small business services firm providing local administrative and back-office support.,
"Planful, Inc.",Finance,"$27,741",Cloud financial planning and analysis (FP&A) platform for budgeting and forecasting workflows.,
Cognism Limited,Sales,"$27,013",B2B sales intelligence and contact data platform for outbound prospecting and lead generation.,
Uberflip,Marketing,"$26,091",Content experience platform for personalising and distributing marketing content to target audiences.,
Agram Life Osiguranje D.O.O.,G&A,"$24,952",Croatian life insurance provider offering group employee life and accident insurance benefits.,
Google Ireland Limited,Marketing,"$24,798",Digital advertising platform providing paid search and display campaign services via Google Ads.,
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,Legal,"$24,135",Croatian law firm providing local commercial legal advisory and compliance services.,
Care Health Insurance Company Limited,G&A,"$24,045",India-based group health insurance provider for employee medical benefits coverage.,
New Star Networks(Nsn),Engineering,"$23,887",Telecom and network services provider supplying connectivity and managed network infrastructure.,
Bupa- Supplier,G&A,"$22,800",UK private medical insurance provider offering group employee healthcare benefit plans.,
Shree Info System Solutions Pvt Ltd,Engineering,"$22,275",India-based IT infrastructure and system integration services provider for technology operations.,
Technet It Recruitment,Engineering,"$21,952",UK specialist IT and technology recruitment agency for contract and permanent engineering roles.,
Mightyhive Ltd,Marketing,"$19,042",Programmatic media buying and digital marketing agency providing paid media management services.,
Cedar Recruitment Ltd,Finance,"$18,537",UK finance and accounting specialist recruitment agency for interim and permanent finance roles.,
Eurofast International Ltd-Greec,G&A,"$18,164","Greece-based regional outsourcing firm providing payroll, tax, and compliance services.",
Hrvatski Telekom D.D.,Engineering,"$18,084",Croatian national telecoms operator providing internet connectivity and fixed-line network services.,
Sodexo Svc India Private Limited,Facilities,"$17,810",India-based facilities management and employee meal voucher benefits services provider.,
Peakon Aps,G&A,"$17,108",Employee engagement and continuous feedback survey platform for workforce sentiment measurement.,
Plus Your Business Ltd,Marketing,"$17,074",Digital marketing consultancy providing Google Business and online presence optimisation services.,
Benefit Systems D.O.O.,G&A,"$16,900","Croatian employee benefits platform providing gym, wellness, and lifestyle perks to staff.",
Smart Group Services D.O.O.,Facilities,"$16,438",Croatian facilities and office support services provider for local workplace operations.,
Jones Lang Lasalle (Nsw) Pty Ltd,Facilities,"$16,274",Australian commercial real estate and property management firm for office leasing advisory.,
"Workato, Inc.",Engineering,"$16,101",Enterprise integration and workflow automation platform for connecting SaaS apps and business processes.,
Konzum Plus D.O.O.,Facilities,"$15,684",Croatian retail and employee meal/subsidy benefits provider for staff workplace perks.,
Westbrook Advisers,Finance,"$15,360",Financial advisory and consulting services for corporate finance and investment decisions.,
Work Easy Space Solutions Private Limited,Facilities,"$14,913",Indian co-working and managed office space solutions provider.,
"Taxstudio, Ltd.",Finance,"$14,642","UK-based tax compliance, planning, and advisory services firm.",
Pingo D.O.O.,Facilities,"$14,508",Croatian facilities or office services vendor supporting local operations.,
Magazin Raunalni Sistemi D.O.O.,Engineering,"$13,870",Croatian IT hardware and computer systems supply and support provider.,
Tp Prime D.O.O.,Professional Services,"$13,785",Croatian business consulting and professional services firm.,
Granttree Limited,Finance,"$13,659",UK R&D tax credit and government grant funding consultancy.,
Cigna Sg,G&A,"$13,249",Singapore-based employee group health insurance and benefits provider.,
Collards Chartered Accountants,Finance,"$12,879","UK chartered accounting firm providing audit, tax, and bookkeeping services.",
Bupa Australia,G&A,"$12,463",Australian employee private health insurance and wellness benefits provider.,
4I Management Consulting Private Limited,Professional Services,"$12,117",Indian management consulting firm providing strategic and operational advisory.,
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",Facilities,"$11,637",City of Zagreb municipal office overseeing property permits and spatial planning,
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,Professional Services,"$11,605",Croatian sole-trader business consulting and advisory services firm.,
Ramiro D.O.O.,Facilities,"$11,516",Croatian vendor providing facilities maintenance or office support services.,
Visalogic Limited,Legal,"$11,241",UK immigration and work visa processing services for employee relocation.,
Poles Ltd - Hanbury Manor,Facilities,"$10,488",UK hotel and event venue used for corporate meetings and offsites.,
Shoff Darby Companies,G&A,"$10,100",US-based commercial insurance brokerage and risk management services.,
Emerge Development Consultancy Ltd,Professional Services,"$10,046",UK development consultancy providing project and change management services.,
Performancepro,G&A,"$10,018",Employee performance management and appraisal software platform.,
Microsoft Ireland Operations Limited,SaaS,"$9,822",Microsoft cloud productivity suite (M365/Azure) licensed via Irish entity.,
Catering Muring,Facilities,"$9,603",Croatian catering and food service provider for office or events.,
Omonia D.O.O.,Facilities,"$9,559",Croatian facilities or office support services vendor.,
Outreach Corporation,Sales,"$9,206",AI-powered sales engagement and sequencing platform for outbound sales teams.,
Cbre Limited,Facilities,"$8,395",Global commercial real estate advisory and property management firm.,
Studentski Centar - Split,Facilities,"$8,269",Croatian student centre providing subsidised catering and facility services.,
The Guardian,Marketing,"$8,070",UK digital and print media outlet used for brand advertising and recruitment.,
Intertrust Singapore Corporate Services Pte Ltd - Csc,Legal,"$7,360","Singapore corporate secretarial, entity management, and compliance services.",
Goto Technologies Uk Limited,SaaS,"$7,316","Cloud-based remote access, video conferencing, and IT management SaaS platform.",
Hrsolution International Ag,G&A,"$6,987",Swiss HR consulting firm providing international human resources advisory services.,
Trello,Product,"$6,674",Cloud-based Kanban project and task management collaboration tool.,
Obrt Sjaj Sunca,Facilities,"$6,596",Croatian sole-trader providing cleaning or facilities maintenance services.,
Telefã³Nica Compras Electrã³Nicas S.L.,Engineering,"$6,157",Spanish Telefónica entity providing telecom and connectivity services.,
Allianz Australia Workers' Compensation (Victoria) Limited,G&A,"$6,099",Australian workers' compensation insurance provider for Victorian employees.,
Icici Lombard Gic Ltd,G&A,"$5,972",Indian general insurance provider offering employee and corporate insurance cover.,
Mosaic Concept D.O.O.,Facilities,"$5,731",Croatian interior design or office fit-out and concept services firm.,
Limes Plus D.O.O.,Facilities,"$5,624",Croatian facilities or office supply and support services vendor.,
Mercer Limited,G&A,"$5,444",Global HR consulting firm providing compensation benchmarking and benefits advisory.,
Acclime Corporate Services,Legal,"$5,413","Asia-Pacific corporate secretarial, compliance, and entity formation services.",
Green Commute Initiative,G&A,"$5,402",UK cycle-to-work salary sacrifice scheme administrator for employee benefits.,
Tattu Manchester Limited,Facilities,"$5,366",UK upscale restaurant used for corporate client entertainment and team events.,
Athlete Service Ltd,G&A,"$5,285",Employee wellness and corporate sports/fitness programme services provider.,
Amazon Web Services Inc.,Engineering,"$5,153","US cloud infrastructure platform providing compute, storage, and managed services.",
Telemach Hrvatska D.O.O.,Engineering,"$5,134",Croatian telecom operator providing internet and mobile connectivity services.,
"Acclime Usa, Inc",Legal,"$4,995",US entity of Acclime providing corporate compliance and secretarial services.,
Centar Za Sigurnost D.O.O.,Facilities,"$4,991",Croatian security services company providing physical premises security.,
Profi Bar D.O.O.,Facilities,"$4,917",Croatian catering or office refreshment and bar services provider.,
Pricewaterhousecoopers Llp,Finance,"$4,879","Global Big Four firm providing audit, tax, and financial advisory services.",
Pinnacle Partnership Ca,Finance,"$4,836",Canadian accounting and financial advisory partnership firm.,
The Virtual Legal Counsel Ltd,Legal,"$4,800",UK outsourced virtual general counsel providing on-demand legal advisory services.,
Australian Payroll Professionals Pty Ltd,Finance,"$4,399",Australian payroll processing and compliance outsourcing services provider.,
Inter Continental Chennai Mahabalipuram Resort,Facilities,"$4,393",Indian luxury resort used for corporate retreats and team off-site events.,
Jetbrains S.R.O.,Engineering,"$4,083","Czech vendor providing IDE and developer productivity software tools (e.g., IntelliJ).",
Crowe Horwath Revizija D.O.O.,Finance,"$4,062","Croatian Crowe affiliate providing audit, tax, and accounting advisory services.",
Puducherry Backwater Resort Private Limited,Facilities,"$4,056",Indian resort venue used for corporate off-site meetings and team events.,
Orionw Llc,Engineering,"$4,025",US technology services firm providing software development or IT solutions.,
Adobe Systems Software,Marketing,"$3,929",Creative Cloud and digital experience SaaS suite for design and marketing content.,
"Common Desk, Llc",Facilities,"$3,842",US co-working and flexible office space provider for distributed teams.,
Hep Elektra D.O.O.,Facilities,"$3,735",Croatian national electricity utility supplying power to office locations.,
Zivi Napitak D.O.O.,Facilities,"$3,700",Croatian beverage and refreshment supplier for office consumption.,
Gym4You D.O.O.,G&A,"$3,692",Croatian gym membership provider supporting employee health and wellness benefits.,
Aha! Labs Inc,Product,"$3,689",Cloud-based product roadmap and strategy planning software platform.,
Apple Retail Uk Ltd,Engineering,"$3,548",Apple hardware devices and accessories purchased via UK retail stores.,
"Kryterion, Inc.",Professional Services,"$3,541",Online proctoring and certification exam delivery platform for credentialing programs.,
Npm Inc,Engineering,"$3,535",JavaScript package registry and dependency management tooling for software development.,
Pinsent Masons Mpillay Llp,Legal,"$4,078",International law firm providing corporate and commercial legal services in Asia-Pacific.,
Calm Achiever(A Unit Of Mohsin Ali Vakil),G&A,"$4,071",Employee wellness and personal development coaching services provider in India.,
Pluxee India Private Limited,G&A,"$3,994",Employee benefits and meal voucher administration platform operating in India.,
Oâ€™Donnell Salzano Lawyers,Legal,"$3,955",Australian law firm providing corporate and employment legal advisory services.,
Papertrail Inc,Engineering,"$3,900",Cloud-based log management and aggregation SaaS platform for application monitoring.,
Sniper Systems And Solutions Private Limited,Engineering,"$3,899",IT infrastructure and systems integration services provider based in India.,
Trocadero (London) Hotel Ltd,G&A,"$3,868",London hotel providing accommodation for business travel and corporate events.,
Semrush Inc,Marketing,"$3,730","SEO, content marketing, and competitive intelligence SaaS platform for digital marketers.",
Golubica Parking D.O.O.,Facilities,"$3,726",Parking facility and management services provider in Croatia.,
Vodafone (Australian),G&A,"$3,672",Australian mobile and telecommunications network services provider for business users.,
Ikea Hrvatska D.O.O.,Facilities,"$3,610",Office furniture and workplace fitout supplies purchased via IKEA Croatia.,
Orcola D.O.O.,Engineering,"$3,545",IT consulting and Oracle technology solutions provider based in Croatia.,
Info Edge India Limited,G&A,"$3,536",Indian online recruitment and job posting platform (Naukri.com) for talent acquisition.,
Grad Split,Facilities,"$3,483","Municipal government of Split, Croatia, for local business permits and fees.",
T-Mobile,G&A,"$3,357",US mobile carrier providing corporate wireless voice and data services.,
Akton D.O.O.,Facilities,"$3,254",Facilities maintenance and building services provider operating in Croatia.,
Bureau Veritas Croatia D.O.O.,Facilities,"$3,200","Inspection, testing, and certification services for facilities compliance in Croatia.",
Cici Prudential Life Insurance Co. Ltd.,G&A,"$3,195",Group life and health insurance coverage provider for employees in India.,
Ncc Services Limited,Legal,"$3,036",Software escrow and technology assurance services provider for contract compliance.,
Smartsheet Inc.,G&A,"$2,995",Cloud-based collaborative work management and project tracking SaaS platform.,
Good Game Global D.O.O.,Marketing,"$2,954",Digital marketing and creative agency providing campaign services in Croatia.,
Garaå¾A Firule D.O.O.,Facilities,"$2,930","Parking garage and vehicle storage facility services provider in Split, Croatia.",
Crossland,Facilities,"$2,924",Commercial real estate or office relocation services provider.,
It London,Engineering,"$2,838",IT support and managed technology services provider based in London.,
Terrapinn Holdings Ltd,Marketing,"$2,838",B2B conference and trade event organizer operating across global tech industries.,
Elemental Life Solutions Llp,G&A,"$2,807",Employee wellness and holistic health program services provider in India.,
United Flow Ltd (The Goodness Project),G&A,"$2,744",Corporate wellbeing and mindfulness program provider for employee engagement.,
Mcburneys Charted Accountants,Finance,"$2,711","Chartered accounting firm providing audit, tax, and financial advisory services.",
Cleverland Winery Resort,G&A,"$2,663",Winery resort venue used for corporate events and team off-site meetings.,
Ag Grid Ltd,Engineering,"$2,653",High-performance JavaScript data grid library for enterprise web application development.,
Lusha,Sales,"$2,606",B2B contact data and sales intelligence platform for prospecting and lead enrichment.,
My Foodiverse Llp,Facilities,"$2,489",Corporate catering and employee meal services provider in India.,
4Imprint Direct Ltd,Marketing,"$2,436",Branded promotional merchandise and corporate giveaway products supplier in the UK.,
City Pantry Ltd,Facilities,"$2,419",Corporate office food delivery and catering platform operating in London.,
Stipe Piric,Facilities,"$2,302",Individual contractor providing facilities or maintenance services in Croatia.,
Office Move London,Facilities,"$2,293",Commercial office relocation and moving services provider in London.,
Pink Ribbon Shop,Marketing,"$2,251",Branded merchandise supplier supporting corporate charity and awareness campaigns.,
Starhub Ltd (Supplier),G&A,"$2,205",Singapore telecommunications carrier providing mobile and broadband business services.,
N S Shastri And Co,Finance,"$2,194","Indian chartered accountancy firm providing tax, audit, and compliance services.",
John Smith,Professional Services,"$2,163",Individual contractor providing professional consulting or advisory services.,
Fabiola Thistlewhaite,Professional Services,"$2,154",Independent individual contractor engaged for specialist project-based professional services delivery.,
Hp Inc Uk Limited,Engineering,"$2,136","Hardware vendor supplying laptops, printers, and IT equipment in the United Kingdom.",
Cision Pr Newswire,Marketing,"$2,110",Press release distribution and PR media outreach platform for earned media campaigns.,
George Anchor,Professional Services,"$2,107",Individual contractor providing professional consulting or specialist advisory services.,
"Yoxel, Inc",Engineering,"$2,044",Google Workspace and CRM data sync integration tool for enterprise productivity workflows.,
Grt Hotels And Resorts P Ltd,G&A,"$2,032",Indian hotel chain providing accommodation for business travel and corporate events.,
Apple Pty Ltd,Engineering,"$2,031",Apple hardware devices and software purchased via Australian corporate channel.,
Slack Technologies Limited,Engineering,"$1,989",Cloud-based team messaging and collaboration SaaS platform for internal communications.,
G S Notary Public Limited,Legal,"$1,935",Notary public services provider for document authentication and legal certification.,
Apple Distribution International Ltd,Engineering,"$1,913",Apple hardware and software distribution for corporate device procurement internationally.,
Porezno Savjetniå¡Tvo Tuk D.O.O.,Finance,"$1,813",Croatian tax advisory and financial consulting firm for local regulatory compliance.,
Susan Lee,Professional Services,"$1,762",Individual contractor providing professional consulting or specialist advisory services.,
Ansar Madovic,Professional Services,"$1,732",Individual contractor providing professional consulting or specialist advisory services.,
"Radius Group, Inc",Facilities,"$1,723",Corporate real estate advisory and workplace strategy services provider in the US.,
Aquila Remete D.O.O.,Facilities,"$1,706",Facilities management or property services provider operating in Croatia.,
Clime India Private Limited,G&A,"$1,678",Employee expense management and corporate spend platform operating in India.,
"Golden Mean, Inc",Professional Services,"$1,659",Consulting and advisory services firm providing strategic or operational support.,
Paint & Fun Vl. Martina Milkova Nikolova,Facilities,"$1,654",Team-building and recreational art activity vendor for employee engagement events.,
Carrington Communications,Marketing,"$1,654",PR and communications agency providing media relations and messaging services.,
Crayond Digital Private Limited,Engineering,"$1,646",India-based digital product design and software development agency.,
Studentski Centar Karlovac,Facilities,"$1,549",Croatian student center providing canteen and accommodation facilities for staff or events.,
Lajnap Comedy Booking D.O.O.,Facilities,"$1,536",Croatian entertainment booking agency arranging comedy and live event performances.,
British Telecommunications,Engineering,"$1,493","UK telecom provider supplying fixed-line, broadband, and network connectivity services.",
Etm Concessions Ltd,Facilities,"$1,419",Facilities concessions vendor providing on-site catering or vending machine services.,
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,G&A,"$1,406",Radisson hotel property in India providing accommodation for business travel and events.,
Ariba Inc,Finance,"$1,363",SAP Ariba procurement and spend management SaaS platform for purchase-to-pay workflows.,
Chamiers Recreation Club,Facilities,"$1,338",India-based recreation club providing employee wellness and leisure facility access.,
Quadrant Law Llc,Legal,"$1,327",Law firm providing corporate legal advisory and transactional support services.,
Docusign,G&A,"$1,308",Cloud-based e-signature and digital agreement management SaaS platform.,
Inside Edge Novated Leasing,G&A,"$1,287",Australian novated vehicle leasing provider managing employee car lease salary packaging.,
Rhea D.O.O.,Facilities,"$1,253","Croatian vendor providing office supplies, catering, or facilities support services.",
P S Recreation Club,Facilities,"$1,219",India-based recreation club providing employee wellness and leisure facility memberships.,
Fastspring,SaaS,"$1,179",E-commerce and subscription billing platform for SaaS software sales and payment processing.,
Dsv Solutions A/S,Facilities,"$1,162",Global logistics and freight forwarding provider for supply chain and shipping services.,
Curzon Green Solicitors,Legal,"$1,158","UK law firm providing employment, corporate, or commercial legal advisory services.",
Icare Nsw,G&A,"$1,150",New South Wales government workers compensation and insurance scheme provider.,
Thomas Mansfield Solicitors Limited,Legal,"$1,135",UK law firm specializing in employment law and workplace legal dispute resolution.,
Amazon.Co.Uk,Facilities,"$1,107","UK Amazon marketplace for purchasing office supplies, hardware, and operational equipment.",
Backoffice Associates,Professional Services,"$1,080",Data migration and SAP data management consulting services provider.,
Oladi D.O.O.,Facilities,"$1,064","Croatian vendor providing catering, office supplies, or facilities support services.",
Integrated Personnel Services,G&A,"$1,054",Staffing and temporary personnel placement agency providing workforce solutions.,
Mãœller Trgovina Zagreb D.O.O.,Facilities,"$1,051","Croatian retail chain supplying office, hygiene, and general-purpose workplace consumables.",
Lunch Nutrition D.O.O.,Facilities,"$1,012",Croatian catering company providing employee lunch and nutrition meal services.,
Winmaxi Tours & Travels,G&A,"$1,001",India-based travel agency managing employee business travel bookings and arrangements.,
Digitalna Produkcija J.D.O.O.,Marketing,$993,Croatian digital production agency providing content creation and online media services.,
Computershare-Caboodle Technology Limited,Finance,$981,Employee share plan administration and equity management technology platform.,
Allianz Wa,G&A,$971,Allianz insurance provider in Western Australia supplying corporate insurance coverage.,
Trending Technology Services Gmbh,Engineering,$961,German-based IT services firm providing engineering infrastructure support and software solutions at low annual spend.,
"Godaddy.Com, Llc",Engineering,$923,Domain registration and web hosting platform for managing company web properties.,
Time Out Group,Marketing,$920,Global media and entertainment brand providing advertising and sponsorship opportunities.,
Raiffeisenbank Austria D.D.,Finance,$920,Austrian banking group providing corporate banking and financial transaction services in Croatia.,
Galop-Prijevoz D.O.O.,Facilities,$908,Croatian transportation and shuttle service provider for employee or logistics transport.,
Lane Ip Limited,Legal,$851,"UK intellectual property law firm managing patent, trademark, and IP portfolio services.",
Urbani Eventi D.O.O.,Facilities,$851,Croatian event management company organizing corporate events and team activities.,
Smashing Media Ag,Marketing,$850,Publisher of Smashing Magazine providing developer-focused advertising and sponsorship placements.,
Epignosis Llc,G&A,$833,Learning management system (TalentLMS) provider for employee training and e-learning delivery.,
Croatia Airlines,G&A,$832,Croatian national airline providing domestic and international business travel flights.,
Bb Football Scouting J.D.O.O.,Facilities,$823,Croatian sports and employee engagement vendor providing football-related recreational activities.,
Boe Croatia D.O.O.,Facilities,$814,"Croatian vendor providing office equipment, supplies, or facilities management services.",
Potomac D.O.O.,Facilities,$806,Croatian facilities or office services vendor supplying operational support goods.,
"President Hotel And Tower Co., Ltd",G&A,$803,Hotel property providing accommodation and meeting venue services for business travel.,
Friends Sports Club,Facilities,$797,Sports club providing employee recreational and wellness activity memberships.,
The Cycle Gap Adyar,Facilities,$765,India-based bicycle retailer supplying cycles for employee commute or wellness programs.,
Apple - Amer,Engineering,$764,Apple Americas providing hardware devices such as MacBooks and iPhones for engineering staff.,
Klg - Kalra Legal Group,Legal,$681,India-based law firm providing corporate and commercial legal advisory services.,
Kilgannon & Partners Llp,Legal,$681,"UK law firm providing corporate, employment, or commercial legal advisory services.",
Uk Postbox Limited,G&A,$670,UK virtual mailbox service providing registered address and mail handling for remote operations.,
Catering Iviä‡ D.O.O.,Facilities,$669,Croatian catering company providing employee meal and food service solutions.,
Blink Events,Marketing,$664,Event production agency organizing corporate marketing events and brand experiences.,
Grafo-Jan,Marketing,$662,Croatian graphic design and print services vendor for marketing collateral production.,
Mesa Verde,Facilities,$662,"Vendor providing office catering, hospitality, or facilities support services.",
Pixsy Inc,Legal,$613,Image copyright monitoring and infringement enforcement platform for protecting visual content.,
Dun & Bradstreet D.O.O.,Sales,$610,Business intelligence and commercial data provider for sales prospecting and credit risk assessment.,
Induslaw,Legal,$596,"India-based full-service law firm providing corporate, M&A, and commercial legal services.",
Trans-Agram Obrt Za Dostavu,Facilities,$581,Croatian delivery and courier service provider for office logistics and mail distribution.,
Landu Law Solicitors,Legal,$568,"UK law firm providing immigration, employment, or commercial legal advisory services.",
Arena Center Zagreb D.O.O.,Facilities,$567,Zagreb venue/conference center used for corporate events and meetings.,
Obrt Za Ugostiteljstvo Mirakul,Facilities,$565,Croatian catering and hospitality service provider for corporate dining.,
Oakberry Jr D.O.O.,Facilities,$535,Croatian food and beverage vendor used for employee or event catering.,
Tau On-Line D.O.O.,Engineering,$534,Croatian online technology services provider supporting IT or software operations.,
Magic Mountain Saloon,Facilities,$524,Bar/restaurant venue used for corporate team events or offsites.,
Hotel Zonar,Facilities,$523,Hotel accommodation provider used for employee or client business travel.,
Roto Dinamic D.O.O.,Facilities,$512,Croatian facilities or mechanical services vendor supporting office operations.,
Tm Forum,Engineering,$510,"Telecom industry association providing standards, research, and membership services.",
Marvie Hotel - Krupa D.O.O.,Facilities,$502,Croatian hotel accommodation provider for employee business travel and events.,
Merchandise Ltd,Marketing,$490,Branded merchandise supplier providing promotional goods and company swag.,
Yellow Submarine D.O.O.,Facilities,$486,Croatian food and beverage venue used for corporate catering or team events.,
Streamlinereforms Inc,G&A,$483,Business process and operational reform consulting services provider.,
Make And Grow Ltd,Marketing,$483,Marketing and growth services agency supporting digital or content campaigns.,
Obiteljski Hoteli D.O.O.,Facilities,$474,Croatian family hotel group providing accommodation for employee business travel.,
Rudan D.O.O.,Facilities,$473,Croatian services vendor providing facilities or operational support.,
Entrio Tehnologije D.O.O.,Engineering,$473,Croatian ticketing and event technology platform provider.,
Vivat Fina Vina D.O.O.,Facilities,$467,Croatian fine wine supplier used for corporate gifting or event hospitality.,
"Figma, Inc.",Product,$460,Cloud-based collaborative UI/UX design tool for product and design teams.,
E-Disti D.O.O.,Engineering,$458,Croatian e-distribution or digital services technology provider.,
Greencell Express Private Limited,Facilities,$457,Indian ground transportation and express logistics service for employee travel.,
Edwardian Pastoria Hotels Ltd (The Londoner),Facilities,$433,London luxury hotel providing accommodation for employee or client business travel.,
Tiganda J.D.O.O.,Facilities,$432,Croatian small business vendor providing local operational or catering support.,
"Franklin, Gringer & Cohen, P.C.",Legal,$427,U.S. law firm providing employment and corporate legal counsel services.,
Blitz - Cinestar D.O.O.,Facilities,$426,Croatian cinema and entertainment venue used for corporate team events.,
Lancefield Bus Service,Facilities,$412,Ground transportation/bus service provider for employee shuttle or event transport.,
Super Odrediå¡Te D.O.O.,Facilities,$378,Croatian destination or event venue provider for corporate offsites.,
Pmi Global Operations Center,G&A,$378,Project Management Institute providing PMI certifications and training programs.,
Student Packers & Movers,Facilities,$371,Moving and relocation services provider supporting employee or office relocations.,
Del Posto D.O.O.,Facilities,$364,Croatian restaurant or catering venue used for corporate dining and events.,
Inicijativa Centar Za Edukaciju,G&A,$358,Croatian education and training center providing professional development courses.,
Niva Transport J.D.O.O.,Facilities,$358,Croatian ground transportation company providing employee or logistics transport.,
Doctor Anywhere Operations Pte Ltd,G&A,$347,Singapore-based telehealth platform providing employee virtual healthcare benefits.,
Spar Hrvatska D.O.O.,Facilities,$341,Croatian SPAR grocery retail chain used for office supplies and employee provisions.,
Pepe'S Italian And Liquor,Facilities,$339,Restaurant and bar venue used for corporate team dining or entertainment.,
"Pluralsight, Llc",Engineering,$318,Online technology skills learning platform providing developer training and courses.,
Maniax Melbourne Cbd,Facilities,$315,Melbourne axe-throwing entertainment venue used for corporate team-building events.,
Dnsimple,Engineering,$312,Cloud-based DNS management and domain registration platform for engineering teams.,
Treci Posao D.O.O.,G&A,$307,Croatian recruitment or staffing services provider for talent acquisition.,
Gaucho Restaurants,Facilities,$302,Upscale Argentinian steakhouse chain used for corporate client dining and events.,
Formswift,G&A,$301,Online document creation and e-signature platform for business form management.,
Safestore Ltd,Facilities,$287,UK self-storage facility provider used for corporate document or equipment storage.,
Split Tech City,Engineering,$284,Croatian tech community organization supporting engineering talent and networking in Split.,
National Securities Depository Limited(Nsdl),Finance,$281,Indian securities depository providing electronic holding and settlement of securities.,
Adamma Info Services Private Limited,G&A,$273,Indian information and administrative support services provider.,
The Riding House Cafe,Facilities,$265,London restaurant and cafe venue used for corporate team dining or client entertainment.,
Stillmark Zagreb D.O.O.,Marketing,$263,Croatian PR and communications agency providing media and brand communications services.,
Lastpass Ireland Limited,Engineering,$263,Cloud-based enterprise password management and security vault platform.,
