Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs),Recommendation Rationale
Accutrainee Limited,Legal,"$38,841",UK legal staffing firm providing qualified solicitor secondments and contract legal resource.,Optimize,Legal staffing for solicitor secondments; review ongoing need and benchmark day rates against alternatives.
Mason Frank International Ltd,G&A,"$38,148",UK specialist Salesforce and technology talent recruitment agency for contract and permanent roles.,Optimize,"Salesforce recruitment agency; review placement volume, negotiate fees, and assess internal recruiting capacity."
"Houlihan Lokey Advisors, Llc",M&A,"$37,461","Investment bank providing M&A advisory, valuation, and transaction execution services.",Optimize,M&A advisory bank; review active engagement scope and ensure fee structure aligns with deal milestones.
Vector Capital Management Lp,M&A,"$32,427",Private equity firm providing acquisition financing and strategic investment advisory services.,Optimize,PE/investment advisory tied to ownership; review ongoing management fee obligations and contract terms.
Hubspot Ireland Limited,Marketing,"$32,187","Inbound marketing, CRM, and marketing automation platform for demand generation campaigns.",Optimize,Marketing automation platform; review overlap with Salesforce CRM capabilities and right-size license tier.
Nefron - Obrt Za Poslovne Usluge,G&A,"$30,614",Croatian small business services firm providing local administrative and back-office support.,Optimize,Croatian back-office support; low spend but review necessity and benchmark against shared services model.
"Planful, Inc.",Finance,"$27,741",Cloud financial planning and analysis (FP&A) platform for budgeting and forecasting workflows.,Optimize,FP&A platform; strategically valuable for budgeting — review license count and negotiate renewal pricing.
Cognism Limited,Sales,"$27,013",B2B sales intelligence and contact data platform for outbound prospecting and lead generation.,Optimize,"Sales intelligence tool; review usage adoption, lead conversion ROI, and negotiate seat-based pricing."
Uberflip,Marketing,"$26,091",Content experience platform for personalising and distributing marketing content to target audiences.,Terminate,Content experience platform; niche capability likely duplicated by HubSpot or CMS — terminate to reduce sprawl.
Agram Life Osiguranje D.O.O.,G&A,"$24,952",Croatian life insurance provider offering group employee life and accident insurance benefits.,Optimize,Croatian employee life insurance; compliance-necessary benefit — benchmark premiums for cost savings.
Google Ireland Limited,Marketing,"$24,798",Digital advertising platform providing paid search and display campaign services via Google Ads.,Optimize,"Google Ads digital advertising; review campaign ROI, optimize spend allocation, and set budget caps."
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,Legal,"$24,135",Croatian law firm providing local commercial legal advisory and compliance services.,Optimize,Croatian local legal counsel; necessary for compliance — review hourly rates and engagement scope.
Care Health Insurance Company Limited,G&A,"$24,045",India-based group health insurance provider for employee medical benefits coverage.,Optimize,India employee health insurance; compliance-required benefit — benchmark premiums and review plan design.
New Star Networks(Nsn),Engineering,"$23,887",Telecom and network services provider supplying connectivity and managed network infrastructure.,Consolidate,Overlaps with Telefonica and Cloudcrossing in network/connectivity; consolidate network vendors.
Bupa- Supplier,G&A,"$22,800",UK private medical insurance provider offering group employee healthcare benefit plans.,Optimize,UK private medical insurance; employee benefit requirement — benchmark premiums and review plan tiers.
Shree Info System Solutions Pvt Ltd,Engineering,"$22,275",India-based IT infrastructure and system integration services provider for technology operations.,Optimize,India IT infrastructure services; review scope overlap with Infosys and benchmark rates for savings.
Technet It Recruitment,Engineering,"$21,952",UK specialist IT and technology recruitment agency for contract and permanent engineering roles.,Terminate,IT recruitment agency; consolidate recruiting needs through internal TA team or primary staffing vendor.
Mightyhive Ltd,Marketing,"$19,042",Programmatic media buying and digital marketing agency providing paid media management services.,Terminate,Programmatic media agency; low spend and overlaps with Google Ads and LinkedIn — consolidate media buying.
Cedar Recruitment Ltd,Finance,"$18,537",UK finance and accounting specialist recruitment agency for interim and permanent finance roles.,Terminate,Finance recruitment agency at $18K; consolidate recruiting through internal TA or primary staffing partner.
Eurofast International Ltd-Greec,G&A,"$18,164","Greece-based regional outsourcing firm providing payroll, tax, and compliance services.",Optimize,Regional payroll/tax/compliance provider is necessary for Greek operations; review scope and renegotiate terms.
Hrvatski Telekom D.D.,Engineering,"$18,084",Croatian national telecoms operator providing internet connectivity and fixed-line network services.,Optimize,Core internet connectivity for Croatian operations; benchmark pricing and review bandwidth needs.
Sodexo Svc India Private Limited,Facilities,"$17,810",India-based facilities management and employee meal voucher benefits services provider.,Optimize,Active facilities/meal benefits provider for India staff; review contract terms and utilization rates.
Peakon Aps,G&A,"$17,108",Employee engagement and continuous feedback survey platform for workforce sentiment measurement.,Consolidate,Overlaps with PerformancePro in employee feedback/HR space; consolidate to one people analytics platform.
Plus Your Business Ltd,Marketing,"$17,074",Digital marketing consultancy providing Google Business and online presence optimisation services.,Terminate,Low-spend niche digital marketing consultancy; capability can be handled by internal marketing team.
Benefit Systems D.O.O.,G&A,"$16,900","Croatian employee benefits platform providing gym, wellness, and lifestyle perks to staff.",Optimize,Employee wellness benefits for Croatian staff; review utilization and negotiate volume discounts.
Smart Group Services D.O.O.,Facilities,"$16,438",Croatian facilities and office support services provider for local workplace operations.,Consolidate,One of multiple Croatian facilities vendors; consolidate with other local facilities providers.
Jones Lang Lasalle (Nsw) Pty Ltd,Facilities,"$16,274",Australian commercial real estate and property management firm for office leasing advisory.,Consolidate,Overlaps with CBRE in commercial real estate advisory; consolidate to one global RE partner.
"Workato, Inc.",Engineering,"$16,101",Enterprise integration and workflow automation platform for connecting SaaS apps and business processes.,Optimize,Unique integration/automation platform with no clear duplicate; review usage and right-size tier.
Konzum Plus D.O.O.,Facilities,"$15,684",Croatian retail and employee meal/subsidy benefits provider for staff workplace perks.,Consolidate,Croatian meal/subsidy benefits overlaps with Sodexo-type services and other local facilities vendors.
Westbrook Advisers,Finance,"$15,360",Financial advisory and consulting services for corporate finance and investment decisions.,Optimize,Financial advisory services; verify ongoing engagement value and renegotiate or rebid if needed.
Work Easy Space Solutions Private Limited,Facilities,"$14,913",Indian co-working and managed office space solutions provider.,Optimize,Co-working/managed office in India; review occupancy needs and benchmark against alternatives.
"Taxstudio, Ltd.",Finance,"$14,642","UK-based tax compliance, planning, and advisory services firm.",Optimize,UK tax compliance/advisory is necessary; review scope overlap with Collards and consolidate if possible.
Pingo D.O.O.,Facilities,"$14,508",Croatian facilities or office services vendor supporting local operations.,Consolidate,One of many Croatian facilities vendors; consolidate into a single local facilities provider.
Magazin Raunalni Sistemi D.O.O.,Engineering,"$13,870",Croatian IT hardware and computer systems supply and support provider.,Optimize,Croatian IT hardware supplier for local office; review purchasing frequency and negotiate pricing.
Tp Prime D.O.O.,Professional Services,"$13,785",Croatian business consulting and professional services firm.,Terminate,Low-spend Croatian consulting firm; likely project-based — terminate if engagement is complete.
Granttree Limited,Finance,"$13,659",UK R&D tax credit and government grant funding consultancy.,Optimize,R&D tax credit recovery drives direct ROI; ensure fee structure is competitive and results-based.
Cigna Sg,G&A,"$13,249",Singapore-based employee group health insurance and benefits provider.,Optimize,Employee health insurance in Singapore is a required benefit; benchmark premiums at next renewal.
Collards Chartered Accountants,Finance,"$12,879","UK chartered accounting firm providing audit, tax, and bookkeeping services.",Optimize,UK accounting/audit services needed for compliance; review overlap with Taxstudio and consolidate scope.
Bupa Australia,G&A,"$12,463",Australian employee private health insurance and wellness benefits provider.,Optimize,Australian employee health insurance is a key benefit; benchmark premiums at next renewal cycle.
4I Management Consulting Private Limited,Professional Services,"$12,117",Indian management consulting firm providing strategic and operational advisory.,Terminate,Low-spend Indian management consulting; likely project-based — terminate if engagement is complete.
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",Facilities,"$11,637",City of Zagreb municipal office overseeing property permits and spatial planning,Optimize,"Mandatory city planning office fees; non-terminable regulatory obligation, monitor for billing accuracy."
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,Professional Services,"$11,605",Croatian sole-trader business consulting and advisory services firm.,Terminate,Low-spend Croatian sole-trader consultant; likely project-based — terminate if engagement is complete.
Ramiro D.O.O.,Facilities,"$11,516",Croatian vendor providing facilities maintenance or office support services.,Consolidate,One of many Croatian facilities/maintenance vendors; consolidate into a single local provider.
Visalogic Limited,Legal,"$11,241",UK immigration and work visa processing services for employee relocation.,Optimize,Immigration/visa services support employee mobility; review case volume and negotiate per-case fees.
Poles Ltd - Hanbury Manor,Facilities,"$10,488",UK hotel and event venue used for corporate meetings and offsites.,Terminate,Event venue for offsites; low strategic value as a recurring vendor — book ad hoc as needed.
Shoff Darby Companies,G&A,"$10,100",US-based commercial insurance brokerage and risk management services.,Optimize,Insurance brokerage and risk management is compliance-critical; benchmark fees at next renewal.
Emerge Development Consultancy Ltd,Professional Services,"$10,046",UK development consultancy providing project and change management services.,Terminate,Low-spend UK project/change consultancy; likely project-based — terminate if engagement is complete.
Performancepro,G&A,"$10,018",Employee performance management and appraisal software platform.,Consolidate,Overlaps with Peakon in HR/people management space; consolidate to one platform.
Microsoft Ireland Operations Limited,SaaS,"$9,822",Microsoft cloud productivity suite (M365/Azure) licensed via Irish entity.,Optimize,Critical M365/Azure platform; verify this isn't a duplicate of a main Microsoft contract entity.
Catering Muring,Facilities,"$9,603",Croatian catering and food service provider for office or events.,Consolidate,Croatian catering overlaps with other local food/facilities vendors; consolidate providers.
Omonia D.O.O.,Facilities,"$9,559",Croatian facilities or office support services vendor.,Consolidate,One of many Croatian facilities vendors; consolidate into a single local facilities provider.
Outreach Corporation,Sales,"$9,206",AI-powered sales engagement and sequencing platform for outbound sales teams.,Optimize,Sales engagement platform with strategic value; review seat count and usage to right-size spend.
Cbre Limited,Facilities,"$8,395",Global commercial real estate advisory and property management firm.,Consolidate,Overlaps with JLL in commercial real estate advisory; consolidate to one global RE partner.
Studentski Centar - Split,Facilities,"$8,269",Croatian student centre providing subsidised catering and facility services.,Optimize,"Subsidised catering for Croatian Split office; low spend, verify ongoing need and utilization."
The Guardian,Marketing,"$8,070",UK digital and print media outlet used for brand advertising and recruitment.,Terminate,Low-spend media advertising; evaluate ROI — terminate if no measurable recruitment or brand impact.
Intertrust Singapore Corporate Services Pte Ltd - Csc,Legal,"$7,360","Singapore corporate secretarial, entity management, and compliance services.",Optimize,Corporate secretarial/compliance for SG entity is legally required; benchmark fees against peers.
Goto Technologies Uk Limited,SaaS,"$7,316","Cloud-based remote access, video conferencing, and IT management SaaS platform.",Consolidate,Video conferencing/remote access likely overlaps with Microsoft Teams/Zoom; consolidate platforms.
Hrsolution International Ag,G&A,"$6,987",Swiss HR consulting firm providing international human resources advisory services.,Terminate,Low-spend Swiss HR consultancy; overlaps with Mercer and internal HR capabilities.
Trello,Product,"$6,674",Cloud-based Kanban project and task management collaboration tool.,Consolidate,"Task management tool likely overlaps with existing project management platforms (Jira, Asana, etc.)."
Obrt Sjaj Sunca,Facilities,"$6,596",Croatian sole-trader providing cleaning or facilities maintenance services.,Consolidate,Croatian cleaning/facilities vendor; consolidate with other local facilities providers.
Telefã³Nica Compras Electrã³Nicas S.L.,Engineering,"$6,157",Spanish Telefónica entity providing telecom and connectivity services.,Optimize,Telecom connectivity for Spanish operations; benchmark pricing and review bandwidth needs.
Allianz Australia Workers' Compensation (Victoria) Limited,G&A,"$6,099",Australian workers' compensation insurance provider for Victorian employees.,Optimize,Workers' comp insurance is legally mandated in Victoria; benchmark premium at next renewal.
Icici Lombard Gic Ltd,G&A,"$5,972",Indian general insurance provider offering employee and corporate insurance cover.,Optimize,Indian employee/corporate insurance is a required benefit; benchmark premiums at renewal.
Mosaic Concept D.O.O.,Facilities,"$5,731",Croatian interior design or office fit-out and concept services firm.,Terminate,Office fit-out/interior design is likely a one-time project; terminate if engagement is complete.
Limes Plus D.O.O.,Facilities,"$5,624",Croatian facilities or office supply and support services vendor.,Consolidate,One of many Croatian facilities/office supply vendors; consolidate into a single local provider.
Mercer Limited,G&A,"$5,444",Global HR consulting firm providing compensation benchmarking and benefits advisory.,Optimize,Global compensation benchmarking is strategically valuable; review scope and renegotiate fees.
Acclime Corporate Services,Legal,"$5,413","Asia-Pacific corporate secretarial, compliance, and entity formation services.",Optimize,APAC corporate secretarial/compliance is legally necessary; benchmark fees against alternatives.
Green Commute Initiative,G&A,"$5,402",UK cycle-to-work salary sacrifice scheme administrator for employee benefits.,Optimize,UK cycle-to-work scheme is a low-cost employee benefit with tax advantages; maintain and review fees.
Tattu Manchester Limited,Facilities,"$5,366",UK upscale restaurant used for corporate client entertainment and team events.,Terminate,Restaurant for client entertainment; not a strategic vendor — use corporate card ad hoc instead.
Athlete Service Ltd,G&A,"$5,285",Employee wellness and corporate sports/fitness programme services provider.,Consolidate,"Overlaps with Gym4You, Calm Achiever, and Elemental Life as employee wellness providers; consolidate to one."
Amazon Web Services Inc.,Engineering,"$5,153","US cloud infrastructure platform providing compute, storage, and managed services.",Optimize,Core cloud infrastructure provider; unusually low spend suggests a secondary account—review and optimize usage.
Telemach Hrvatska D.O.O.,Engineering,"$5,134",Croatian telecom operator providing internet and mobile connectivity services.,Optimize,Essential local telecom connectivity for Croatian offices; optimize plan and negotiate rates.
"Acclime Usa, Inc",Legal,"$4,995",US entity of Acclime providing corporate compliance and secretarial services.,Optimize,Compliance and corporate secretarial services are necessary for legal entity maintenance; optimize scope.
Centar Za Sigurnost D.O.O.,Facilities,"$4,991",Croatian security services company providing physical premises security.,Optimize,Physical premises security is essential for Croatian office facilities; negotiate contract terms.
Profi Bar D.O.O.,Facilities,"$4,917",Croatian catering or office refreshment and bar services provider.,Consolidate,Overlaps with Zivi Napitak as office refreshment supplier in Croatia; consolidate to one vendor.
Pricewaterhousecoopers Llp,Finance,"$4,879","Global Big Four firm providing audit, tax, and financial advisory services.",Optimize,Big Four audit/tax firm is critical for compliance; low spend—verify scope and optimize engagement.
Pinnacle Partnership Ca,Finance,"$4,836",Canadian accounting and financial advisory partnership firm.,Consolidate,Overlaps with PwC and Crowe Horwath for accounting/advisory; consolidate to fewer finance advisors.
The Virtual Legal Counsel Ltd,Legal,"$4,800",UK outsourced virtual general counsel providing on-demand legal advisory services.,Terminate,Under $5K; overlaps with multiple other legal vendors across regions—consolidate legal counsel.
Australian Payroll Professionals Pty Ltd,Finance,"$4,399",Australian payroll processing and compliance outsourcing services provider.,Optimize,Necessary for Australian payroll compliance; optimize contract terms and verify headcount alignment.
Inter Continental Chennai Mahabalipuram Resort,Facilities,"$4,393",Indian luxury resort used for corporate retreats and team off-site events.,Terminate,Under $5K one-time resort spend for offsites; overlaps with Puducherry resort—no ongoing need.
Jetbrains S.R.O.,Engineering,"$4,083","Czech vendor providing IDE and developer productivity software tools (e.g., IntelliJ).",Optimize,Essential developer IDE tooling (IntelliJ); review seat count and ensure license utilization.
Crowe Horwath Revizija D.O.O.,Finance,"$4,062","Croatian Crowe affiliate providing audit, tax, and accounting advisory services.",Consolidate,Overlaps with PwC for audit/tax services; consolidate audit engagements to one firm where possible.
Puducherry Backwater Resort Private Limited,Facilities,"$4,056",Indian resort venue used for corporate off-site meetings and team events.,Terminate,Under $5K one-time resort spend for offsites; overlaps with InterContinental—no ongoing need.
Orionw Llc,Engineering,"$4,025",US technology services firm providing software development or IT solutions.,Terminate,Under $5K niche IT services firm with unclear ongoing value; likely a completed engagement.
Adobe Systems Software,Marketing,"$3,929",Creative Cloud and digital experience SaaS suite for design and marketing content.,Optimize,Essential creative and marketing SaaS suite; review license count and tier for cost savings.
"Common Desk, Llc",Facilities,"$3,842",US co-working and flexible office space provider for distributed teams.,Terminate,Under $5K co-working space; review if location is still actively used or can be eliminated.
Hep Elektra D.O.O.,Facilities,"$3,735",Croatian national electricity utility supplying power to office locations.,Optimize,Essential electricity utility for Croatian offices; non-discretionary—monitor usage efficiency.
Zivi Napitak D.O.O.,Facilities,"$3,700",Croatian beverage and refreshment supplier for office consumption.,Consolidate,Overlaps with Profi Bar as Croatian office refreshment supplier; consolidate to one vendor.
Gym4You D.O.O.,G&A,"$3,692",Croatian gym membership provider supporting employee health and wellness benefits.,Consolidate,Overlaps with Athlete Service and other wellness vendors; consolidate employee wellness benefits.
Aha! Labs Inc,Product,"$3,689",Cloud-based product roadmap and strategy planning software platform.,Optimize,Product roadmap tool serves a unique function for Product team; review seat utilization and tier.
Apple Retail Uk Ltd,Engineering,"$3,548",Apple hardware devices and accessories purchased via UK retail stores.,Terminate,Under $5K ad-hoc hardware purchase via retail; route through IT procurement for better pricing.
"Kryterion, Inc.",Professional Services,"$3,541",Online proctoring and certification exam delivery platform for credentialing programs.,Terminate,Under $5K certification proctoring platform; verify if credentialing program is still active.
Npm Inc,Engineering,"$3,535",JavaScript package registry and dependency management tooling for software development.,Optimize,Essential JS package registry for engineering; verify if paid tier is needed vs free offering.
Pinsent Masons Mpillay Llp,Legal,"$4,078",International law firm providing corporate and commercial legal services in Asia-Pacific.,Optimize,APAC legal counsel needed for regional operations; review engagement scope and hourly rates.
Calm Achiever(A Unit Of Mohsin Ali Vakil),G&A,"$4,071",Employee wellness and personal development coaching services provider in India.,Consolidate,"Overlaps with Elemental Life, Athlete Service, and Gym4You as wellness provider; consolidate."
Pluxee India Private Limited,G&A,"$3,994",Employee benefits and meal voucher administration platform operating in India.,Optimize,Employee meal voucher/benefits platform required for India workforce; optimize plan and fees.
Oâ€™Donnell Salzano Lawyers,Legal,"$3,955",Australian law firm providing corporate and employment legal advisory services.,Optimize,Australian legal counsel needed for local employment/corporate matters; review engagement scope.
Papertrail Inc,Engineering,"$3,900",Cloud-based log management and aggregation SaaS platform for application monitoring.,Optimize,Log management SaaS for engineering; review usage vs plan tier and consider consolidation with observability stack.
Sniper Systems And Solutions Private Limited,Engineering,"$3,899",IT infrastructure and systems integration services provider based in India.,Terminate,Under $5K Indian IT services provider; likely a completed or low-value engagement—terminate.
Trocadero (London) Hotel Ltd,G&A,"$3,868",London hotel providing accommodation for business travel and corporate events.,Terminate,Under $5K hotel spend; use corporate travel platform for bookings instead of direct vendor.
Semrush Inc,Marketing,"$3,730","SEO, content marketing, and competitive intelligence SaaS platform for digital marketers.",Optimize,Strategic SEO and competitive intelligence tool for marketing; review seat count and plan tier.
Golubica Parking D.O.O.,Facilities,"$3,726",Parking facility and management services provider in Croatia.,Consolidate,Overlaps with Garaza Firule as Croatian parking provider; consolidate to one parking vendor.
Vodafone (Australian),G&A,"$3,672",Australian mobile and telecommunications network services provider for business users.,Optimize,Telecom connectivity needed for Australian operations; negotiate corporate rates and review plans.
Ikea Hrvatska D.O.O.,Facilities,"$3,610",Office furniture and workplace fitout supplies purchased via IKEA Croatia.,Terminate,Under $5K ad-hoc furniture purchases; likely one-time fitout with no ongoing need.
Orcola D.O.O.,Engineering,"$3,545",IT consulting and Oracle technology solutions provider based in Croatia.,Terminate,Under $5K Oracle consulting in Croatia; verify if engagement is complete and terminate.
Info Edge India Limited,G&A,"$3,536",Indian online recruitment and job posting platform (Naukri.com) for talent acquisition.,Optimize,Naukri.com recruitment platform needed for India hiring; review job posting volume and plan.
Grad Split,Facilities,"$3,483","Municipal government of Split, Croatia, for local business permits and fees.",Optimize,Municipal permits and fees are non-discretionary for Croatian office operations; monitor only.
T-Mobile,G&A,"$3,357",US mobile carrier providing corporate wireless voice and data services.,Terminate,Under $5K US mobile spend; consolidate into primary corporate wireless contract for better rates.
Akton D.O.O.,Facilities,"$3,254",Facilities maintenance and building services provider operating in Croatia.,Optimize,Facilities maintenance for Croatian office is operationally necessary; negotiate service contract.
Bureau Veritas Croatia D.O.O.,Facilities,"$3,200","Inspection, testing, and certification services for facilities compliance in Croatia.",Optimize,Inspection and compliance certification required for facilities; non-discretionary—optimize scope.
Cici Prudential Life Insurance Co. Ltd.,G&A,"$3,195",Group life and health insurance coverage provider for employees in India.,Optimize,Employee insurance coverage in India is a compliance requirement; review policy terms and premiums.
Ncc Services Limited,Legal,"$3,036",Software escrow and technology assurance services provider for contract compliance.,Terminate,Under $5K software escrow service; verify if escrow agreements are still contractually required.
Smartsheet Inc.,G&A,"$2,995",Cloud-based collaborative work management and project tracking SaaS platform.,Terminate,Under $5K project management tool; likely redundant with other work management platforms in use.
Good Game Global D.O.O.,Marketing,"$2,954",Digital marketing and creative agency providing campaign services in Croatia.,Terminate,Under $5K Croatian marketing agency; low spend suggests minimal strategic value—terminate.
Garaå¾A Firule D.O.O.,Facilities,"$2,930","Parking garage and vehicle storage facility services provider in Split, Croatia.",Consolidate,Overlaps with Golubica Parking as Croatian parking provider; consolidate to one vendor.
Crossland,Facilities,"$2,924",Commercial real estate or office relocation services provider.,Terminate,Under $5K real estate/relocation service; likely a completed one-time engagement.
It London,Engineering,"$2,838",IT support and managed technology services provider based in London.,Terminate,Under $5K London IT support; low spend suggests ad-hoc use—handle via primary IT provider.
Terrapinn Holdings Ltd,Marketing,"$2,838",B2B conference and trade event organizer operating across global tech industries.,Terminate,Under $5K conference/event organizer; low spend indicates minimal event participation—terminate.
Elemental Life Solutions Llp,G&A,"$2,807",Employee wellness and holistic health program services provider in India.,Consolidate,"Overlaps with Calm Achiever, Athlete Service, and Gym4You as wellness provider; consolidate."
United Flow Ltd (The Goodness Project),G&A,"$2,744",Corporate wellbeing and mindfulness program provider for employee engagement.,Terminate,Sub-$5K wellbeing program with low strategic value; can be handled via existing HR/benefits programs.
Mcburneys Charted Accountants,Finance,"$2,711","Chartered accounting firm providing audit, tax, and financial advisory services.",Optimize,Audit/tax/compliance vendor — rarely terminable; review scope and ensure no overlap with other accounting firms.
Cleverland Winery Resort,G&A,"$2,663",Winery resort venue used for corporate events and team off-site meetings.,Terminate,Sub-$5K event venue spend; one-time or infrequent use with no ongoing strategic value.
Ag Grid Ltd,Engineering,"$2,653",High-performance JavaScript data grid library for enterprise web application development.,Terminate,Sub-$5K niche JS grid library; evaluate if open-source version suffices or if license is still needed.
Lusha,Sales,"$2,606",B2B contact data and sales intelligence platform for prospecting and lead enrichment.,Consolidate,Sub-$5K sales intelligence tool; likely overlaps with primary sales prospecting/CRM enrichment platform.
My Foodiverse Llp,Facilities,"$2,489",Corporate catering and employee meal services provider in India.,Consolidate,Sub-$5K catering vendor in India; overlaps with other corporate catering providers — consolidate spend.
4Imprint Direct Ltd,Marketing,"$2,436",Branded promotional merchandise and corporate giveaway products supplier in the UK.,Consolidate,Sub-$5K branded merchandise supplier; overlaps with Pink Ribbon Shop — consolidate to one vendor.
